"","year","race_new","ca_18_to_25_race_total","ca_15_to_24_race_total","ca_18_to_25_pop","ca_15_to_24_pop","ca_18_to_25_share","ca_15_to_24_share"
"1",2000,"African American",234708,345889,3606283,4862503,0.0650830786158491,0.0711339406885713
"2",2000,"American Indian",18205,35030,3606283,4862503,0.00504813404827075,0.00720410866584555
"3",2000,"Asian/Pacific Islander",453013,601823,3606283,4862503,0.125617706652528,0.123768149860267
"4",2000,"Hispanic/Latino",1512738,2024468,3606283,4862503,0.419472903263554,0.416342776549444
"5",2000,"Other",109879,NA,3606283,NA,0.0304687679807713,NA
"6",2000,"White",1277740,1855293,3606283,4862503,0.354309409439026,0.381551024235872
"7",2001,"African American",220263,354194,3638228,4985100,0.0605412854829329,0.0710505305811318
"8",2001,"American Indian",14577,35667,3638228,4985100,0.00400662080551301,0.00715472106878498
"9",2001,"Asian/Pacific Islander",419810,623375,3638228,4985100,0.115388590269769,0.12504764197308
"10",2001,"Hispanic/Latino",1610929,2073096,3638228,4985100,0.442778462482285,0.415858458205452
"11",2001,"Other",89101,NA,3638228,NA,0.024490218864788,NA
"12",2001,"White",1283548,1898768,3638228,4985100,0.352794822094712,0.380888648171551
"13",2002,"African American",220502,361179,3770280,5083312,0.0584842505065937,0.0710519047424199
"14",2002,"American Indian",14794,35763,3770280,5083312,0.00392384650476888,0.00703537378779819
"15",2002,"Asian/Pacific Islander",437479,639880,3770280,5083312,0.116033557189386,0.125878561064125
"16",2002,"Hispanic/Latino",1672708,2122483,3770280,5083312,0.443656174077257,0.417539391640726
"17",2002,"Other",106224,NA,3770280,NA,0.0281740348196951,NA
"18",2002,"White",1318573,1924007,3770280,5083312,0.349728136902299,0.378494768764931
"19",2003,"African American",224217,367139,3822964,5164655,0.0586500422185508,0.0710868392951707
"20",2003,"American Indian",11128,35959,3822964,5164655,0.00291083044464975,0.00696251734142939
"21",2003,"Asian/Pacific Islander",465633,653458,3822964,5164655,0.121798949715456,0.126525005058421
