"","year","race_new","total_race","total_acs_pop","share_race"
"1",2000,"White",15579263,33087051,0.470856801351078
"2",2000,"Hispanic/Latino",10540913,33087051,0.318581217770058
"3",2000,"Asian/Pacific Islander",3775762,33087051,0.11411600266219
"4",2000,"African American",2103496,33087051,0.0635745990176036
"5",2000,"Other",855000,33087051,0.025840924898384
"6",2000,"American Indian",232617,33087051,0.007030454300687
"7",2001,"African American",2053529,33713792,0.0609106504542711
"8",2001,"White",15512275,33713792,0.460116589673449
"9",2001,"Hispanic/Latino",11353763,33713792,0.336769088449024
"10",2001,"Asian/Pacific Islander",3797129,33713792,0.112628356964414
"11",2001,"Other",852278,33713792,0.0252798024025301
"12",2001,"American Indian",144818,33713792,0.00429551205631215
"13",2002,"White",15509528,34325414,0.451838046294212
"14",2002,"Asian/Pacific Islander",4111878,34325414,0.119791067924192
"15",2002,"Hispanic/Latino",11649621,34325414,0.33938763273183
"16",2002,"African American",2022983,34325414,0.0589354290089553
"17",2002,"Other",887361,34325414,0.0258514289150307
"18",2002,"American Indian",144043,34325414,0.00419639512578057
"19",2003,"Hispanic/Latino",11979657,34644509,0.34578804392927
"20",2003,"White",15521082,34644509,0.448009870770574
"21",2003,"Asian/Pacific Islander",4181985,34644509,0.120711336968291
"22",2003,"African American",2076145,34644509,0.0599271012904238
"23",2003,"Other",721548,34644509,0.0208271965984566
"24",2003,"American Indian",164092,34644509,0.00473645044298362
"25",2004,"Hispanic/Latino",12246380,35057375,0.349323929700954
"26",2004,"White",15488560,35057375,0.441806039385436
"27",2004,"Asian/Pacific Islander",4300320,35057375,0.122665202400351
"28",2004,"Other",743258,35057375,0.0212011880524426
"29",2004,"African American",2104986,35057375,0.0600440278258141
"30",2004,"American Indian",173871,35057375,0.00495961263500191
"31",2005,"Asian/Pacific Islander",4432957,35340566,0.125435370786082
"32",2005,"Hispanic/Latino",12534628,35340566,0.354681020105903
"33",2005,"Other",816327,35340566,0.0230988660453259
"34",2005,"White",15296566,35340566,0.432833079130651
"35",2005,"African American",2094286,35340566,0.0592601148493207
"36",2005,"American Indian",165802,35340566,0.00469154908271701
"37",2006,"Hispanic/Latino",13087981,36457549,0.358992344767883
"38",2006,"White",15585096,36457549,0.427486115427013
"39",2006,"African American",2209315,36457549,0.0605996579748134
"40",2006,"Asian/Pacific Islander",4544025,36457549,0.124638795657931
"41",2006,"Other",867779,36457549,0.023802450351229
"42",2006,"American Indian",163353,36457549,0.00448063582112994
"43",2007,"Hispanic/Latino",13219347,36553215,0.361646629441487
"44",2007,"White",15512574,36553215,0.424383299800031
"45",2007,"Other",884084,36553215,0.0241862172725436
"46",2007,"Asian/Pacific Islander",4564099,36553215,0.124861766605208
"47",2007,"African American",2201492,36553215,0.0602270415885443
"48",2007,"American Indian",171619,36553215,0.00469504529218565
"49",2008,"White",15452381,36756666,0.420396697567728
"50",2008,"African American",2191268,36756666,0.0596155266095135
"51",2008,"Asian/Pacific Islander",4601761,36756666,0.125195277504222
"52",2008,"Hispanic/Latino",13434896,36756666,0.365509102484975
"53",2008,"Other",917692,36756666,0.024966682233911
"54",2008,"American Indian",158668,36756666,0.0043167135996502
"55",2009,"White",15325814,36961664,0.414640801885976
"56",2009,"Hispanic/Latino",13682187,36961664,0.370172376438463
"57",2009,"African American",2155298,36961664,0.0583117145375273
"58",2009,"Asian/Pacific Islander",4687038,36961664,0.126808089592503
"59",2009,"Other",956062,36961664,0.0258663138109799
"60",2009,"American Indian",155265,36961664,0.00420070373455048
"61",2010,"Hispanic/Latino",14091992,37349363,0.377302070720724
"62",2010,"White",14949422,37349363,0.400259088756079
"63",2010,"Asian/Pacific Islander",4975618,37349363,0.133218282732158
"64",2010,"African American",2156811,37349363,0.0577469286423975
"65",2010,"Other",1024211,37349363,0.0274224489451132
"66",2010,"American Indian",151309,37349363,0.0040511802035285
"67",2011,"Hispanic/Latino",14358393,37691912,0.380940956245467
"68",2011,"Asian/Pacific Islander",5047653,37691912,0.133918730363161
"69",2011,"White",14915716,37691912,0.395727231879349
"70",2011,"African American",2152501,37691912,0.0571077689027821
"71",2011,"Other",1071233,37691912,0.0284207657069771
"72",2011,"American Indian",146416,37691912,0.00388454690226381
"73",2012,"White",14904694,38041430,0.391801622599361
"74",2012,"Hispanic/Latino",14539578,38041430,0.382203770993887
"75",2012,"Asian/Pacific Islander",5157728,38041430,0.135581864299002
"76",2012,"Other",1143309,38041430,0.0300543118384351
"77",2012,"African American",2150597,38041430,0.05653302202362
"78",2012,"American Indian",145524,38041430,0.00382540824569423
"79",2013,"White",14890655,38332521,0.388460101541456
"80",2013,"African American",2167983,38332521,0.056557276783335
"81",2013,"Hispanic/Latino",14716321,38332521,0.383912161686418
"82",2013,"Asian/Pacific Islander",5261419,38332521,0.137257317357238
"83",2013,"Other",1159390,38332521,0.0302455974654002
"84",2013,"American Indian",136753,38332521,0.00356754516615278
"85",2014,"White",14851728,38802500,0.382751833000451
"86",2014,"Hispanic/Latino",14990679,38802500,0.386332813607371
"87",2014,"Asian/Pacific Islander",5445501,38802500,0.140338921461246
"88",2014,"Other",1238934,38802500,0.0319292313639585
"89",2014,"African American",2142698,38802500,0.0552206172282714
"90",2014,"American Indian",132960,38802500,0.0034265833387024
"91",2015,"Hispanic/Latino",15184905,39144818,0.387916096582695
"92",2015,"White",14814590,39144818,0.378455968297004
"93",2015,"Asian/Pacific Islander",5596071,39144818,0.142958156045073
"94",2015,"African American",2184604,39144818,0.0558082553864473
"95",2015,"Other",1228796,39144818,0.031391026010135
"96",2015,"American Indian",135852,39144818,0.00347049767864549
"97",2016,"Other",1321757,39250017,0.0336753229941276
"98",2016,"Hispanic/Latino",15280629,39250017,0.389315219914427
"99",2016,"White",14728382,39250017,0.375245238747285
"100",2016,"Asian/Pacific Islander",5629487,39250017,0.143426358261195
"101",2016,"American Indian",126998,39250017,0.00323561643298142
"102",2016,"African American",2162764,39250017,0.0551022436499836
"103",2017,"Other",1368804,39536653,0.0346211400342867
"104",2017,"Asian/Pacific Islander",5771565,39536653,0.14598011116419
"105",2017,"White",14614060,39536653,0.36963321098526
"106",2017,"Hispanic/Latino",15476396,39536653,0.39144426312465
"107",2017,"African American",2162724,39536653,0.0547017472622177
"108",2017,"American Indian",143104,39536653,0.00361952742939571
"109",2018,"Hispanic/Latino",15540503,39557045,0.392863091770379
"110",2018,"Other",1357353,39557045,0.0343138118633482
"111",2018,"White",14497300,39557045,0.36649097524853
"112",2018,"Asian/Pacific Islander",5855421,39557045,0.148024732383321
"113",2018,"African American",2178408,39557045,0.0550700387250868
"114",2018,"American Indian",128060,39557045,0.00323735000933462
