"","year","race_new","ca_18_to_24_race_total","ca_18_to_24_pop","ca_18_to_24_share"
"1","1990","American Indian",29964,4615174,0.006492496
"2","1990","African American",275599,4615174,0.059715842
"3","1990","Asian/Pacific Islander",336026,4615174,0.072808956
"4","1990","Other",654829,4615174,0.141886091
"5","1990","Hispanic/Latino",1202917,4615174,0.260643911
"6","1990","White",2115839,4615174,0.458452704
"7","1991","American Indian",29964,4615174,0.00631151
"8","1991","African American",275599,4615174,0.060468385
"9","1991","Asian/Pacific Islander",336026,4615174,0.077840195
"10","1991","Other",654829,4615174,0.130735066
"11","1991","Hispanic/Latino",1202917,4615174,0.276738253
"12","1991","White",2115839,4615174,0.447906592
"13","1992","American Indian",29964,4615174,0.006130524
"14","1992","African American",275599,4615174,0.061220928
"15","1992","Asian/Pacific Islander",336026,4615174,0.082871434
"16","1992","Other",654829,4615174,0.119584041
"17","1992","Hispanic/Latino",1202917,4615174,0.292832595
"18","1992","White",2115839,4615174,0.43736048
"19","1993","American Indian",29964,4615174,0.005949538
"20","1993","African American",275599,4615174,0.061973471
"21","1993","Asian/Pacific Islander",336026,4615174,0.087902673
"22","1993","Other",654829,4615174,0.108433016
"23","1993","Hispanic/Latino",1202917,4615174,0.308926937
"24","1993","White",2115839,4615174,0.426814368
"25","1994","American Indian",29964,4615174,0.005768552
"26","1994","African American",275599,4615174,0.062726014
"27","1994","Asian/Pacific Islander",336026,4615174,0.092933912
"28","1994","Other",654829,4615174,0.097281991
"29","1994","Hispanic/Latino",1202917,4615174,0.325021279
"30","1994","White",2115839,4615174,0.416268256
"31","1995","American Indian",29964,4615174,0.005587566
"32","1995","African American",275599,4615174,0.063478557
"33","1995","Asian/Pacific Islander",336026,4615174,0.097965151
"34","1995","Other",654829,4615174,0.086130966
"35","1995","Hispanic/Latino",1202917,4615174,0.341115621
"36","1995","White",2115839,4615174,0.405722144
"37","1996","American Indian",29964,4615174,0.00540658
"38","1996","African American",275599,4615174,0.0642311
"39","1996","Asian/Pacific Islander",336026,4615174,0.10299639
"40","1996","Other",654829,4615174,0.074979941
"41","1996","Hispanic/Latino",1202917,4615174,0.357209963
"42","1996","White",2115839,4615174,0.395176032
"43","1997","American Indian",29964,4615174,0.005225594
"44","1997","African American",275599,4615174,0.064983643
"45","1997","Asian/Pacific Islander",336026,4615174,0.108027629
"46","1997","Other",654829,4615174,0.063828916
"47","1997","Hispanic/Latino",1202917,4615174,0.373304305
"48","1997","White",2115839,4615174,0.38462992
"49","1998","American Indian",29964,4615174,0.005044608
"50","1998","African American",275599,4615174,0.065736186
"51","1998","Asian/Pacific Islander",336026,4615174,0.113058868
"52","1998","Other",654829,4615174,0.052677891
"53","1998","Hispanic/Latino",1202917,4615174,0.389398647
"54","1998","White",2115839,4615174,0.374083808
"55","1999","American Indian",29964,4615174,0.004863622
"56","1999","African American",275599,4615174,0.066488729
"57","1999","Asian/Pacific Islander",336026,4615174,0.118090107
"58","1999","Other",654829,4615174,0.041526866
"59","1999","Hispanic/Latino",1202917,4615174,0.405492989
"60","1999","White",2115839,4615174,0.363537696
"61","2000","African American",208503,3100819,0.0672412675489927
"62","2000","American Indian",14520,3100819,0.00468263384609034
"63","2000","Asian/Pacific Islander",381777,3100819,0.123121343103225
"64","2000","Hispanic/Latino",1307266,3100819,0.421587329025009
"65","2000","Other",94190,3100819,0.0303758458652375
"66","2000","White",1094563,3100819,0.352991580611445
