"","year","race_new","ca_15_to_19_race_total","ca_15_to_19_pop","ca_15_to_19_share"
"1",1990,"Hispanic/Latino",739479,2078773,0.355728595666771
"2",1990,"American Indian",15036,2078773,0.00723311299502158
"3",1990,"Asian/Pacific Islander",221341,2078773,0.106476753354022
"4",1990,"African American",164060,2078773,0.0789215561295052
"5",1990,"White",938857,2078773,0.451639981854681
"6",1991,"Hispanic/Latino",732045,2012605,0.363730091100837
"7",1991,"American Indian",14685,2012605,0.00729651372226542
"8",1991,"Asian/Pacific Islander",218365,2012605,0.108498687025025
"9",1991,"African American",160304,2012605,0.0796500058382047
"10",1991,"White",887206,2012605,0.440824702313668
"11",1992,"Hispanic/Latino",745057,2005481,0.371510375815079
"12",1992,"American Indian",14610,2005481,0.00728503536059429
"13",1992,"Asian/Pacific Islander",218886,2005481,0.109143891166259
"14",1992,"African American",161357,2005481,0.0804580048377422
"15",1992,"White",865571,2005481,0.431602692820326
"16",1993,"Hispanic/Latino",762637,2009216,0.379569444002039
"17",1993,"American Indian",14631,2009216,0.00728194479836912
"18",1993,"Asian/Pacific Islander",221991,2009216,0.110486378766643
"19",1993,"African American",159680,2009216,0.0794737847996432
"20",1993,"White",850277,2009216,0.423188447633306
"21",1994,"Hispanic/Latino",786560,2041574,0.385271364153344
"22",1994,"American Indian",14821,2041574,0.0072595948028335
"23",1994,"Asian/Pacific Islander",228159,2041574,0.111756419311766
"24",1994,"African American",161818,2041574,0.0792613934150807
"25",1994,"White",850216,2041574,0.416451228316975
"26",1995,"Hispanic/Latino",812503,2091693,0.388442759047336
"27",1995,"American Indian",15274,2091693,0.00730221882465543
"28",1995,"Asian/Pacific Islander",238339,2091693,0.113945497737957
"29",1995,"African American",165415,2091693,0.0790818729134725
"30",1995,"White",860162,2091693,0.411227651476579
"31",1996,"Hispanic/Latino",849868,2168087,0.391989804837167
"32",1996,"American Indian",16239,2168087,0.00749001308526826
"33",1996,"Asian/Pacific Islander",250779,2168087,0.115668328807838
"34",1996,"African American",169868,2168087,0.0783492544349004
"35",1996,"White",881333,2168087,0.406502598834825
"36",1997,"Hispanic/Latino",887558,2247439,0.394919728633347
"37",1997,"American Indian",16990,2247439,0.00755971574756868
"38",1997,"Asian/Pacific Islander",265269,2247439,0.118031679613996
"39",1997,"African American",173503,2247439,0.0772003155591765
"40",1997,"White",904119,2247439,0.402288560445912
"41",1998,"Hispanic/Latino",927090,2333653,0.397269859743501
"42",1998,"American Indian",17654,2333653,0.0075649635999868
"43",1998,"Asian/Pacific Islander",280160,2333653,0.120052124287544
"44",1998,"African American",178099,2333653,0.0763176873339781
"45",1998,"White",930650,2333653,0.39879536503499
"46",1999,"Hispanic/Latino",962965,2403117,0.400714988075903
"47",1999,"American Indian",18172,2403117,0.00756184571953842
"48",1999,"Asian/Pacific Islander",291894,2403117,0.121464747658978
"49",1999,"African American",180707,2403117,0.0751969213317537
"50",1999,"White",949379,2403117,0.395061497213827
"51",2000,"Hispanic/Latino",995358,2459982,0.404620033805125
"52",2000,"American Indian",18661,2459982,0.00758582786378112
"53",2000,"Asian/Pacific Islander",299887,2459982,0.121906176549259
"54",2000,"African American",183039,2459982,0.0744066419998195
"55",2000,"White",963037,2459982,0.391481319782015
"56",2001,"Hispanic/Latino",1018815,2484581,0.410055055560676
"57",2001,"American Indian",18800,2484581,0.00756666818268352
"58",2001,"Asian/Pacific Islander",298268,2484581,0.120047605612375
"59",2001,"African American",186409,2484581,0.0750263324077581
"60",2001,"White",962289,2484581,0.387304338236508
"61",2002,"Hispanic/Latino",1040764,2515883,0.413677424586119
"62",2002,"American Indian",18691,2515883,0.00742920080146811
"63",2002,"Asian/Pacific Islander",299166,2515883,0.118910935047456
"64",2002,"African American",190023,2515883,0.0755293469529386
"65",2002,"White",967239,2515883,0.384453092612017
"66",2003,"Hispanic/Latino",1070379,2559499,0.418198639655651
