"","year","race_new","total_race","total_pop","share_race"
"1",1990,"Hispanic/Latino",7779607,29959515,0.259670658887502
"2",1990,"American Indian",187132,29959515,0.00624616252966712
"3",1990,"Asian/Pacific Islander",2769630,29959515,0.0924457555471108
"4",1990,"African American",2134224,29959515,0.0712369342427606
"5",1990,"White",17088922,29959515,0.570400488792959
"6",1991,"Hispanic/Latino",8092243,30470736,0.265574254589715
"7",1991,"American Indian",191613,30470736,0.00628842703372836
"8",1991,"Asian/Pacific Islander",2915027,30470736,0.0956664453395547
"9",1991,"African American",2171737,30470736,0.0712728763755493
"10",1991,"White",17100116,30470736,0.561197996661453
"11",1992,"Hispanic/Latino",8421511,30974659,0.27188389709149
"12",1992,"American Indian",196289,30974659,0.0063370834849223
"13",1992,"Asian/Pacific Islander",3064665,30974659,0.0989410408037099
"14",1992,"African American",2203792,30974659,0.0711482247472038
"15",1992,"White",17088402,30974659,0.551689753872674
"16",1993,"Hispanic/Latino",8751621,31274928,0.279828653802177
"17",1993,"American Indian",199736,31274928,0.0063864575483595
"18",1993,"Asian/Pacific Islander",3201229,31274928,0.102357677689937
"19",1993,"African American",2215014,31274928,0.070823952016772
"20",1993,"White",16907328,31274928,0.540603258942754
"21",1994,"Hispanic/Latino",9053073,31484435,0.287541224735334
"22",1994,"American Indian",203086,31484435,0.00645036190104729
"23",1994,"Asian/Pacific Islander",3314347,31484435,0.105269381521377
"24",1994,"African American",2219982,31484435,0.0705104601686516
"25",1994,"White",16693947,31484435,0.53022857167359
"26",1995,"Hispanic/Latino",9316255,31696582,0.293919861769323
"27",1995,"American Indian",206073,31696582,0.0065014265576017
"28",1995,"Asian/Pacific Islander",3427330,31696582,0.108129324480476
"29",1995,"African American",2227652,31696582,0.070280511633715
"30",1995,"White",16519272,31696582,0.521168875558885
"31",1996,"Hispanic/Latino",9617003,32018834,0.300354566315563
"32",1996,"American Indian",209937,32018834,0.00655667223859557
"33",1996,"Asian/Pacific Islander",3535360,32018834,0.110415013863403
"34",1996,"African American",2244089,32018834,0.07008653094613
"35",1996,"White",16412445,32018834,0.512587216636308
"36",1997,"Hispanic/Latino",9958475,32486010,0.306546571893563
"37",1997,"American Indian",213219,32486010,0.00656340991091242
"38",1997,"Asian/Pacific Islander",3658156,32486010,0.112607119187613
"39",1997,"African American",2264694,32486010,0.0697129010303204
"40",1997,"White",16391466,32486010,0.504569997977591
"41",1998,"Hispanic/Latino",10318932,32987675,0.312811739536054
"42",1998,"American Indian",217684,32987675,0.00659894945612263
"43",1998,"Asian/Pacific Islander",3774454,32987675,0.11442012812361
"44",1998,"African American",2286907,32987675,0.0693261043707991
"45",1998,"White",16389698,32987675,0.496843078513414
"46",1999,"Hispanic/Latino",10682606,33499204,0.318891338432997
"47",1999,"American Indian",221880,33499204,0.00662344096295542
"48",1999,"Asian/Pacific Islander",3892494,33499204,0.116196611716505
"49",1999,"African American",2312110,33499204,0.0690198489492467
"50",1999,"White",16390114,33499204,0.489268759938296
"51",2000,"Hispanic/Latino",11054553,33987977,0.325248925524458
"52",2000,"American Indian",224863,33987977,0.006615957166265
"53",2000,"Asian/Pacific Islander",4017091,33987977,0.118191529904825
"54",2000,"African American",2329679,33987977,0.068544209030152
"55",2000,"White",16361791,33987977,0.4813993783743
"56",2001,"Hispanic/Latino",11383962,34479458,0.330166500877131
"57",2001,"American Indian",223924,34479458,0.00649441763266696
"58",2001,"Asian/Pacific Islander",4167735,34479458,0.12087588499796
"59",2001,"African American",2340237,34479458,0.0678733697032013
"60",2001,"White",16363600,34479458,0.474589826789041
"61",2002,"Hispanic/Latino",11705795,34871843,0.335680422741064
"62",2002,"American Indian",222216,34871843,0.00637236179343891
"63",2002,"Asian/Pacific Islander",4298223,34871843,0.123257695327431
"64",2002,"African American",2346002,34871843,0.0672749645035968
"65",2002,"White",16299607,34871843,0.46741455563447
"66",2003,"Hispanic/Latino",12030015,35253159,0.341246439787141
"67",2003,"American Indian",220585,35253159,0.0062571697475395
"68",2003,"Asian/Pacific Islander",4422050,35253159,0.125436985661342
"69",2003,"African American",2350056,35253159,0.0666622812440723
"70",2003,"White",16230453,35253159,0.460397123559906
"71",2004,"Hispanic/Latino",12335567,35574576,0.346752326717822
"72",2004,"American Indian",218855,35574576,0.00615200585946548
"73",2004,"Asian/Pacific Islander",4534901,35574576,0.127475897393689
"74",2004,"African American",2353224,35574576,0.066149038571816
"75",2004,"White",16132029,35574576,0.453470731457207
"76",2005,"Hispanic/Latino",12619831,35827943,0.352234316103495
